id,sku,name,category_id,subcategory,description,brand,manufacturer,unit_of_measure,quantity_on_hand,minimum_stock,reorder_point,reorder_quantity,unit_cost,supplier_id,primary_location_id,bin_location,status_override,is_active,notes,created_at,updated_at,base_item_name,size_label,size_sort_value
25,CT-RED-RC-24000-18000,"Cable Tray Reducer RC 24"" x 18""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RC,"24"" x 18""",240018000
26,CT-RED-RC-36000-18000,"Cable Tray Reducer RC 36"" x 18""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RC,"36"" x 18""",360018000
27,CT-RED-RC-36000-24000,"Cable Tray Reducer RC 36"" x 24""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RC,"36"" x 24""",360024000
28,EMT-750,"3/4"" EMT Conduit",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Conduit,"3/4""",750
29,EMT-1000,"1"" EMT Conduit",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Conduit,"1""",1000
30,EMT-1250,"1-1/4"" EMT Conduit",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Conduit,"1-1/4""",1250
31,EMT-1500,"1-1/2"" EMT Conduit",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Conduit,"1-1/2""",1500
32,EMT-2000,"2"" EMT Conduit",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Conduit,"2""",2000
33,EMT-3000,"3"" EMT Conduit",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Conduit,"3""",3000
34,EMT-4000,"4"" EMT Conduit",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Conduit,"4""",4000
35,EMT-6000,"6"" EMT Conduit",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Conduit,"6""",6000
36,EMT-SS-CONN-750,"3/4"" EMT Set Screw Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Connector,"3/4""",750
37,EMT-SS-CONN-1000,"1"" EMT Set Screw Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Connector,"1""",1000
38,EMT-SS-CONN-1250,"1-1/4"" EMT Set Screw Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Connector,"1-1/4""",1250
39,EMT-SS-CONN-1500,"1-1/2"" EMT Set Screw Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Connector,"1-1/2""",1500
40,EMT-SS-CONN-2000,"2"" EMT Set Screw Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Connector,"2""",2000
41,EMT-SS-CONN-3000,"3"" EMT Set Screw Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Connector,"3""",3000
42,EMT-SS-CONN-4000,"4"" EMT Set Screw Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Connector,"4""",4000
43,EMT-SS-CONN-6000,"6"" EMT Set Screw Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Connector,"6""",6000
44,EMT-SS-CPL-750,"3/4"" EMT Set Screw Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Coupling,"3/4""",750
45,EMT-SS-CPL-1000,"1"" EMT Set Screw Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Coupling,"1""",1000
46,EMT-SS-CPL-1250,"1-1/4"" EMT Set Screw Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Coupling,"1-1/4""",1250
47,EMT-SS-CPL-1500,"1-1/2"" EMT Set Screw Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Coupling,"1-1/2""",1500
48,EMT-SS-CPL-2000,"2"" EMT Set Screw Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Coupling,"2""",2000
49,EMT-SS-CPL-3000,"3"" EMT Set Screw Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Coupling,"3""",3000
50,EMT-SS-CPL-4000,"4"" EMT Set Screw Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Coupling,"4""",4000
51,EMT-SS-CPL-6000,"6"" EMT Set Screw Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Set Screw Coupling,"6""",6000
52,EMT-COMP-CONN-750,"3/4"" EMT Compression Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Connector,"3/4""",750
53,EMT-COMP-CONN-1000,"1"" EMT Compression Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Connector,"1""",1000
54,EMT-COMP-CONN-1250,"1-1/4"" EMT Compression Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Connector,"1-1/4""",1250
55,EMT-COMP-CONN-1500,"1-1/2"" EMT Compression Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Connector,"1-1/2""",1500
56,EMT-COMP-CONN-2000,"2"" EMT Compression Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Connector,"2""",2000
57,EMT-COMP-CONN-3000,"3"" EMT Compression Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Connector,"3""",3000
58,EMT-COMP-CONN-4000,"4"" EMT Compression Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Connector,"4""",4000
59,EMT-COMP-CONN-6000,"6"" EMT Compression Connector",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Connector,"6""",6000
60,EMT-COMP-CPL-750,"3/4"" EMT Compression Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Coupling,"3/4""",750
61,EMT-COMP-CPL-1000,"1"" EMT Compression Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Coupling,"1""",1000
62,EMT-COMP-CPL-1250,"1-1/4"" EMT Compression Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Coupling,"1-1/4""",1250
63,EMT-COMP-CPL-1500,"1-1/2"" EMT Compression Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Coupling,"1-1/2""",1500
64,EMT-COMP-CPL-2000,"2"" EMT Compression Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Coupling,"2""",2000
65,EMT-COMP-CPL-3000,"3"" EMT Compression Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Coupling,"3""",3000
66,EMT-COMP-CPL-4000,"4"" EMT Compression Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Coupling,"4""",4000
67,EMT-COMP-CPL-6000,"6"" EMT Compression Coupling",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Compression Coupling,"6""",6000
68,EMT-ELB-90-1250,"1-1/4"" EMT Elbow 90°",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Elbow 90°,"1-1/4""",1250
69,EMT-ELB-90-1500,"1-1/2"" EMT Elbow 90°",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Elbow 90°,"1-1/2""",1500
70,EMT-ELB-90-2000,"2"" EMT Elbow 90°",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Elbow 90°,"2""",2000
71,EMT-ELB-90-3000,"3"" EMT Elbow 90°",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Elbow 90°,"3""",3000
72,EMT-ELB-90-4000,"4"" EMT Elbow 90°",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Elbow 90°,"4""",4000
73,EMT-ELB-90-6000,"6"" EMT Elbow 90°",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Elbow 90°,"6""",6000
74,EMT-1H-STRAP-500,"1/2"" EMT One-Hole Strap",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT One-Hole Strap,"1/2""",500
75,EMT-1H-STRAP-750,"3/4"" EMT One-Hole Strap",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT One-Hole Strap,"3/4""",750
76,EMT-1H-STRAP-1000,"1"" EMT One-Hole Strap",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT One-Hole Strap,"1""",1000
77,EMT-2H-STRAP-500,"1/2"" EMT Two-Hole Strap",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Two-Hole Strap,"1/2""",500
78,EMT-2H-STRAP-750,"3/4"" EMT Two-Hole Strap",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Two-Hole Strap,"3/4""",750
79,EMT-2H-STRAP-1000,"1"" EMT Two-Hole Strap",2,EMT,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",EMT Two-Hole Strap,"1""",1000
80,RIG-750,"3/4"" Rigid Conduit",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Conduit,"3/4""",750
81,RIG-1000,"1"" Rigid Conduit",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Conduit,"1""",1000
82,RIG-1250,"1-1/4"" Rigid Conduit",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Conduit,"1-1/4""",1250
83,RIG-1500,"1-1/2"" Rigid Conduit",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Conduit,"1-1/2""",1500
84,RIG-2000,"2"" Rigid Conduit",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Conduit,"2""",2000
85,RIG-3000,"3"" Rigid Conduit",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Conduit,"3""",3000
86,RIG-4000,"4"" Rigid Conduit",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Conduit,"4""",4000
87,RIG-6000,"6"" Rigid Conduit",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Conduit,"6""",6000
88,RIG-CPL-750,"3/4"" Rigid Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Coupling,"3/4""",750
89,RIG-CPL-1000,"1"" Rigid Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Coupling,"1""",1000
90,RIG-CPL-1250,"1-1/4"" Rigid Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Coupling,"1-1/4""",1250
91,RIG-CPL-1500,"1-1/2"" Rigid Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Coupling,"1-1/2""",1500
92,RIG-CPL-2000,"2"" Rigid Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Coupling,"2""",2000
93,RIG-CPL-3000,"3"" Rigid Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Coupling,"3""",3000
94,RIG-CPL-4000,"4"" Rigid Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Coupling,"4""",4000
95,RIG-CPL-6000,"6"" Rigid Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Coupling,"6""",6000
96,RIG-COMP-CPL-750,"3/4"" Rigid Compression Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Compression Coupling,"3/4""",750
97,RIG-COMP-CPL-1000,"1"" Rigid Compression Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Compression Coupling,"1""",1000
98,RIG-COMP-CPL-1250,"1-1/4"" Rigid Compression Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Compression Coupling,"1-1/4""",1250
99,RIG-COMP-CPL-1500,"1-1/2"" Rigid Compression Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Compression Coupling,"1-1/2""",1500
100,RIG-COMP-CPL-2000,"2"" Rigid Compression Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Compression Coupling,"2""",2000
101,RIG-COMP-CPL-3000,"3"" Rigid Compression Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Compression Coupling,"3""",3000
102,RIG-COMP-CPL-4000,"4"" Rigid Compression Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Compression Coupling,"4""",4000
103,RIG-COMP-CPL-6000,"6"" Rigid Compression Coupling",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Compression Coupling,"6""",6000
104,RIG-COMP-CONN-750,"3/4"" Rigid Compression Connector",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Compression Connector,"3/4""",750
105,RIG-COMP-CONN-1000,"1"" Rigid Compression Connector",2,Rigid,,Allied Tube,Atkore,FT,2500,750,1000,1250,0.45,1,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Rigid Compression Connector,"1""",1000
